Category,Page,Post Type,Rating,Debate,share_count,reaction_count,comment_count
2,3,4,3,0,143.0,1599.0,1732.0
2,3,1,3,0,17.0,98.0,160.0
2,3,1,3,0,24.0,286.0,177.0
2,3,1,3,0,218.0,1016.0,411.0
2,3,1,3,0,7.0,41.0,18.0
2,3,4,3,0,31.0,139.0,58.0
2,3,1,3,0,17.0,100.0,74.0
2,3,1,3,0,25.0,206.0,103.0
2,3,1,3,0,7.0,52.0,65.0
2,3,1,3,0,109.0,564.0,396.0
2,3,1,3,0,24.0,238.0,88.0
2,3,1,3,0,21.0,123.0,82.0
2,3,1,3,0,15.0,77.0,59.0
2,3,1,3,0,32.0,87.0,51.0
2,3,1,3,0,6.0,50.0,55.0
2,3,1,3,0,21.0,452.0,372.0
2,3,1,3,0,21.0,56.0,59.0
2,3,1,3,0,19.0,219.0,144.0
2,3,1,3,0,215.0,558.0,250.0
2,3,1,3,0,21.0,237.0,160.0
2,3,1,3,0,7.0,50.0,21.0
2,3,1,3,0,88.0,799.0,344.0
2,3,1,3,0,79.0,985.0,430.0
2,3,1,3,0,107.0,700.0,194.0
2,3,1,3,0,13.0,114.0,194.0
2,3,1,3,0,56.0,371.0,200.0
2,3,1,3,0,12.0,82.0,53.0
2,3,1,3,0,1447.0,2251.0,1183.0
2,3,1,3,0,19.0,93.0,48.0
2,3,1,3,0,65.0,225.0,168.0
2,3,1,3,0,25.0,200.0,92.0
2,3,1,3,0,53.0,268.0,83.0
2,3,3,3,0,4.0,95.0,103.0
2,3,1,3,0,12.0,75.0,44.0
2,3,1,3,0,309.0,2061.0,861.0
2,3,4,3,0,39.0,144.0,62.0
2,3,1,3,0,267.0,3169.0,451.0
2,3,1,3,0,57.0,205.0,89.0
2,3,1,3,0,5.0,83.0,81.0
2,3,4,3,0,46.0,186.0,26.0
2,3,1,3,0,14.0,197.0,111.0
2,3,1,3,0,23.0,60.0,50.0
2,3,1,3,0,64.0,459.0,279.0
2,3,1,3,0,53.0,520.0,167.0
2,3,1,3,0,19.0,141.0,45.0
2,3,1,3,0,206.0,1879.0,499.0
2,3,1,3,0,235.0,1614.0,256.0
2,3,1,3,0,11.0,71.0,48.0
2,3,4,3,0,112.0,738.0,174.0
2,3,1,3,0,104.0,956.0,353.0
2,3,1,3,0,14.0,178.0,125.0
2,3,1,3,0,12.0,153.0,106.0
2,3,1,3,0,15.0,250.0,178.0
2,3,1,3,0,62.0,339.0,137.0
2,3,1,3,0,46.0,162.0,195.0
2,3,1,3,0,62.0,445.0,182.0
2,3,1,3,0,186.0,904.0,606.0
2,3,1,1,0,13.0,41.0,30.0
2,3,1,3,0,90.0,728.0,238.0
2,3,1,3,0,30.0,209.0,45.0
2,3,1,3,0,153.0,584.0,331.0
2,3,1,3,0,10.0,92.0,68.0
2,3,1,3,0,21.0,188.0,209.0
2,3,1,3,0,25.0,108.0,156.0
2,3,1,3,0,83.0,198.0,101.0
2,3,1,3,0,32.0,420.0,193.0
2,3,1,3,0,2972.0,6980.0,5400.0
2,3,1,3,0,101.0,927.0,87.0
2,3,1,3,0,497.0,3244.0,437.0
2,3,1,3,0,31.0,129.0,57.0
2,3,1,3,0,68.0,231.0,61.0
2,3,1,3,0,23.0,215.0,70.0
2,3,1,3,0,36.0,273.0,143.0
2,3,1,3,0,21.0,156.0,181.0
2,3,1,3,0,79.0,435.0,409.0
2,3,1,3,0,20.0,128.0,85.0
2,3,1,3,0,11.0,219.0,215.0
